growth_motion,role,signal,signal_label,current_value,prior_value,value_format,lower_is_better,trend_values
Pro,Demand Creation,hook_rate,Hook rate,0.34,0.30,percent,false,0.28|0.29|0.30|0.31|0.33|0.34
Pro,Demand Creation,engaged_visits,Engaged landing visits,22400,20500,number,false,19200|19800|20500|21100|21800|22400
Pro,Demand Creation,new_user_ctr,New-user click-through rate,0.012,0.011,percent,false,0.0104|0.0107|0.011|0.0113|0.0117|0.012
Pro,Reinforcement,warm_response,Retargeting response rate,0.119,0.113,percent,false,0.108|0.110|0.113|0.114|0.117|0.119
Pro,Reinforcement,proof_engagement,Proof-content engagement rate,0.067,0.064,percent,false,0.061|0.062|0.064|0.065|0.066|0.067
Pro,Reinforcement,comparison_ctr,Comparison CTR,0.0101,0.0097,percent,false,0.0093|0.0095|0.0097|0.0098|0.0100|0.0101
Pro,Demand Capture,trial_start_rate,Trial start rate,0.081,0.074,percent,false,0.069|0.071|0.074|0.076|0.079|0.081
Pro,Demand Capture,nonbrand_cvr,Nonbrand CVR,0.046,0.043,percent,false,0.040|0.041|0.043|0.044|0.045|0.046
Pro,Demand Capture,pathway_completion,Guided-path completion rate,0.58,0.54,percent,false,0.51|0.52|0.54|0.55|0.57|0.58
Pro,Customer Growth,learning_activation_rate,7-day learning activation rate,0.628,0.601,percent,false,0.579|0.588|0.601|0.611|0.621|0.628
Pro,Customer Growth,renewal_rate,Renewal rate,0.724,0.711,percent,false,0.698|0.704|0.711|0.715|0.720|0.724
Pro,Customer Growth,cross_product_progression,Next-product progression rate,0.094,0.087,percent,false,0.082|0.084|0.087|0.089|0.092|0.094
Workshops,Demand Creation,video_completion,Video completion rate,0.51,0.47,percent,false,0.44|0.45|0.47|0.48|0.50|0.51
Workshops,Reinforcement,instructor_engagement,Instructor proof engagement,0.072,0.069,percent,false,0.066|0.067|0.069|0.070|0.071|0.072
Workshops,Demand Capture,enrollment_rate,Enrollment rate,0.064,0.059,percent,false,0.056|0.057|0.059|0.061|0.062|0.064
Workshops,Customer Growth,repeat_enrollment,Repeat enrollment rate,0.183,0.174,percent,false,0.169|0.171|0.174|0.177|0.180|0.183
Teams,Demand Creation,linkedin_engagement,LinkedIn engagement rate,0.058,0.054,percent,false,0.051|0.052|0.054|0.055|0.057|0.058
Teams,Reinforcement,demo_engagement,Business-proof engagement rate,0.141,0.137,percent,false,0.132|0.134|0.137|0.138|0.140|0.141
Teams,Demand Capture,trial_to_paid,Trial-to-paid rate,0.087,0.082,percent,false,0.078|0.080|0.082|0.084|0.086|0.087
Teams,Customer Growth,active_seat_rate,Active-seat rate,0.68,0.65,percent,false,0.62|0.63|0.65|0.66|0.67|0.68
