asset_id,asset_name,campaign,audience,audience_segment,topic,media_role,format,environment,variant,qualified_reach,frequency,engaged_landing_visits,engagement_rate,engagement_rate_prior,landing_engagement_rate,landing_engagement_rate_prior,content_progression,content_progression_prior,repeat_account_engagement,repeat_account_engagement_prior,priority_account_engagement,high_intent_page_activity,diagnosis,recommended_action,health_status
RHI_Builder_VerifiedHuman_CategoryCreation_Static_LinkedIn_ProofLed_LI01,Verified Human — Proof Static (LinkedIn),RHI,Builders,AI Labs,Verified Human Network,Category Creation,Static,LinkedIn,ProofLed,48000,2.1,3100,0.071,0.058,0.34,0.27,0.41,0.33,0.22,0.16,0.29,0.11,"Proof-led verified-human static ads are earning strong attention and engaged landing visits from AI Labs and model-evaluation buyers on LinkedIn, with repeat engagement building from named accounts.","Scale this proof-led execution to additional Builder segments and add a second verification proof point (representativeness, QC methodology) to the next variant.",Improving
RHI_Builder_VerifiedHuman_ContextualAuthority_Carousel_TechnicalMedia_ProofLed_TM01,Verified Human — Proof Carousel (Technical Media),RHI,Builders,Model & Evaluation Teams,Verified Human Network,Contextual Authority,Carousel,Technical Media,ProofLed,21000,1.6,1900,0.058,0.049,0.39,0.31,0.52,0.44,0.19,0.15,0.24,0.09,"Inside technical publications, the same proof-led framing is producing the deepest content progression in the portfolio — evaluation teams are reading past the hook into the verification methodology.","Extend the carousel into a longer-form technical explainer for the same environment; content progression suggests appetite for more depth.",Improving
RHI_Builder_VerifiedHuman_EventAmplification_Native_EventSurround_ProofLed_EV01,Verified Human — Conference Native,RHI,Builders,AI Engineering Teams,Verified Human Network,Event Amplification,Native,Event Surround,ProofLed,36000,2.8,1200,0.041,0.038,0.21,0.20,0.18,0.17,0.09,0.08,0.12,0.07,"Event-surround placements are building qualified reach around the target conference window, but content progression is flat — this format is doing an awareness job, not a proof job.","Keep event amplification focused on reach and save proof-density variants for retargeting after the event.",Stable
RHI_Builder_VerifiedHuman_EmergingIntentCapture_Display_Programmatic_BroadAwareness_PR01,Verified Human — Broad Awareness Display,RHI,Builders,AI Labs,Verified Human Network,Emerging Intent Capture,Display,Programmatic,BroadAwareness,52000,3.4,900,0.019,0.021,0.14,0.15,0.09,0.10,0.05,0.05,0.06,0.16,"The broad human-feedback display variant is retargeting well on high-intent behavior, but engagement quality is the weakest in the Verified Human Network set — the generic framing isn't earning attention on its own.","Retire the broad-awareness display variant in this environment and replace it with a proof-led retargeting cutdown before adding more spend.",Watch
RHI_Builder_VerifiedHuman_EngagementLearning_Carousel_AICommunity_ProofLed_AC01,Verified Human — Proof Carousel (AI Community),RHI,Builders,Post-Training Teams,Verified Human Network,Engagement & Learning,Carousel,AI Community,ProofLed,15000,1.9,1400,0.063,0.052,0.36,0.29,0.47,0.39,0.17,0.13,0.21,0.10,"Community-hosted proof carousels are converting attention into deeper engagement at a similar rate to LinkedIn, reinforcing that verification credibility travels across Builder environments.","Standardize the proof-led carousel structure as the default Verified Human Network unit for all Builder-facing environments.",Improving
RHI_Builder_APIMCP_ContextualAuthority_Document_TechnicalMedia_WorkflowLed_TM02,API/MCP — Workflow Diagram Document,RHI,Builders,AI Engineering Teams,API / MCP Integrations,Contextual Authority,Document,Technical Media,WorkflowLed,12000,1.4,980,0.034,0.028,0.31,0.24,0.49,0.38,0.14,0.10,0.17,0.13,"The workflow-diagram document ad is a low-reach, high-depth execution: engineering teams who click are reading through the full integration story, and high-intent behavior is building.","Keep this as a narrow, high-fit unit; do not broaden targeting — instead build a second workflow variant for the model-evaluation stage of the pipeline.",Improving
RHI_Builder_APIMCP_EmergingIntentCapture_Native_AICommunity_WorkflowLed_AC02,API/MCP — Workflow Native (AI Community),RHI,Builders,Model & Evaluation Teams,API / MCP Integrations,Emerging Intent Capture,Native,AI Community,WorkflowLed,9000,1.2,640,0.029,0.027,0.27,0.25,0.40,0.37,0.12,0.11,0.15,0.19,"High-intent page activity is climbing fastest here of any API/MCP execution, suggesting community placements are catching evaluators actively comparing integration options.","Prioritize this environment for the next MCP-specific landing page test and add comparison content to convert the rising intent.",Improving
RHI_Builder_APIMCP_EngagementLearning_Static_LinkedIn_StatLed_LI02,API/MCP — Stat-Led Static (LinkedIn),RHI,Builders,AI Engineering Teams,API / MCP Integrations,Engagement & Learning,Static,LinkedIn,StatLed,26000,2.3,700,0.024,0.026,0.18,0.19,0.22,0.24,0.07,0.08,0.09,0.08,"A stat-led, integration-benefit static on LinkedIn is underperforming its own prior period across every signal — the abstract statistic isn't earning the credibility that the workflow-led document ad does.","Replace the stat-led static with a workflow-led adaptation and reserve LinkedIn for the format that is already working.",Needs Action
RHI_Builder_APIMCP_CategoryCreation_Carousel_Search_ComparisonLed_SR01,API/MCP — Comparison Search Carousel,RHI,Builders,Post-Training Teams,API / MCP Integrations,Category Creation,Carousel,Search,ComparisonLed,7000,1.1,520,0.031,0.028,0.29,0.26,0.35,0.32,0.10,0.09,0.12,0.24,"Search placements around integration and comparison queries are producing the strongest high-intent page activity in the Builder portfolio, even at a small scale.","Increase investment in comparison-led search creative before broadening the Verified Human Network message into this channel.",Improving
RHI_Builder_RealTimeInput_EngagementLearning_Carousel_LinkedIn_BeforeAfter_LI03,Real-Time Input — Before/After (LinkedIn),RHI,Builders,AI Labs,Real-Time Human Input,Engagement & Learning,Carousel,LinkedIn,BeforeAfter,19000,2.0,560,0.026,0.025,0.16,0.17,0.19,0.21,0.06,0.07,0.07,0.06,"The before/after creative-confidence framing that performs well with Creators is flat to slightly declining with Builder audiences — real-time reaction isn't the credibility driver this segment needs.","Deprioritize real-time-input messaging for Builders in favor of verification and workflow-integration framing.",Watch
RHI_Builder_RealTimeInput_CategoryCreation_Display_Programmatic_BeforeAfter_PR02,Real-Time Input — Broad Display (Programmatic),RHI,Builders,AI Engineering Teams,Real-Time Human Input,Category Creation,Display,Programmatic,BeforeAfter,22000,2.6,340,0.017,0.019,0.12,0.13,0.13,0.14,0.04,0.04,0.05,0.05,"This is the weakest-performing execution in the current dataset across every signal, confirming that real-time human input is not a credible category-creation hook for technical Builder audiences.","Retire this variant rather than refresh it; redirect the budget to a proof-led Verified Human Network display unit in the same environment.",Needs Action
RHI_Creator_RealTimeInput_EngagementLearning_Carousel_LinkedIn_BeforeAfter_LI04,Real-Time Input — Before/After (LinkedIn),RHI,Creators,Innovation Teams,Real-Time Human Input,Engagement & Learning,Carousel,LinkedIn,BeforeAfter,31000,2.2,3400,0.081,0.062,0.44,0.35,0.58,0.46,0.13,0.10,0.16,0.09,"The before/after carousel is the strongest-performing execution in the portfolio for Creators — seeing AI-generated work change after real human reaction is producing the deepest content progression measured to date.","Scale before/after variants across additional creative-team use cases and add a second proof point built around brand and product teams specifically.",Improving
RHI_Creator_RealTimeInput_ContextualAuthority_Native_AICommunity_BeforeAfter_AC03,Real-Time Input — Before/After Native (AI Community),RHI,Creators,Creative Teams,Real-Time Human Input,Contextual Authority,Native,AI Community,BeforeAfter,14000,1.5,1500,0.069,0.057,0.40,0.33,0.49,0.41,0.11,0.09,0.13,0.08,"Creative-team audiences inside AI-community environments are engaging with the before/after format almost as strongly as on LinkedIn, extending the finding beyond a single channel.","Add a native before/after variant to the always-on AI Community rotation rather than treating it as a LinkedIn-only unit.",Improving
RHI_Creator_RealTimeInput_EmergingIntentCapture_Display_Programmatic_BeforeAfter_PR03,Real-Time Input — Retargeting Display,RHI,Creators,Product & Experience Teams,Real-Time Human Input,Emerging Intent Capture,Display,Programmatic,BeforeAfter,27000,2.9,1100,0.038,0.033,0.24,0.21,0.28,0.24,0.07,0.06,0.08,0.17,"Retargeting the before/after story on programmatic display is converting attention into rising high-intent behavior, extending the message into the consideration stage.","Build a retargeting-specific before/after cutdown that leads with the product moment closest to the viewer's likely use case.",Improving
RHI_Creator_RealTimeInput_EventAmplification_Static_EventSurround_NarrativeLed_EV02,Real-Time Input — Event Narrative Static,RHI,Creators,Brand Teams,Real-Time Human Input,Event Amplification,Static,Event Surround,NarrativeLed,33000,2.7,1250,0.047,0.044,0.22,0.21,0.20,0.19,0.05,0.05,0.06,0.06,"Around the target event window, the narrative-led static is holding steady on reach and awareness but isn't yet building the deeper engagement the LinkedIn and AI Community units are producing.","Use event surround for awareness only, then route attendees to a before/after retargeting variant after the event.",Stable
RHI_Creator_RealTimeInput_EngagementLearning_Document_TechnicalMedia_BeforeAfter_TM03,Real-Time Input — Before/After Document,RHI,Creators,Innovation Teams,Real-Time Human Input,Engagement & Learning,Document,Technical Media,BeforeAfter,8000,1.3,780,0.052,0.046,0.37,0.32,0.51,0.45,0.10,0.08,0.12,0.11,"Even in a technical-media environment built for Builders, the before/after story earns strong content progression when the audience is innovation-team Creators — the format's strength travels, the environment fit is what shifts.","Route Creator-specific media buys in technical environments to before/after creative rather than reusing Builder-oriented proof units.",Improving
RHI_Creator_VerifiedHuman_ContextualAuthority_Carousel_LinkedIn_ProofLed_LI05,Verified Human — Proof Carousel (Creator),RHI,Creators,Creative Teams,Verified Human Network,Contextual Authority,Carousel,LinkedIn,ProofLed,18000,1.8,900,0.039,0.036,0.23,0.22,0.24,0.23,0.06,0.06,0.07,0.05,"Verification messaging earns moderate attention from Creators but content progression is meaningfully lower than the same proof-led format performs with Builder audiences.","Keep a light always-on verification presence for Creators, but do not prioritize new proof-led production for this audience over before/after variants.",Stable
RHI_Creator_VerifiedHuman_CategoryCreation_Static_Programmatic_ProofLed_PR04,Verified Human — Proof Static (Programmatic),RHI,Creators,Brand Teams,Verified Human Network,Category Creation,Static,Programmatic,ProofLed,15000,2.1,480,0.028,0.027,0.17,0.17,0.16,0.16,0.04,0.04,0.05,0.05,"Signals are essentially flat period over period — the proof-led static is a stable, low-priority unit for brand-team Creators rather than a growth lever.","Hold current spend; do not scale until the before/after format's Programmatic performance plateaus.",Stable
RHI_Creator_APIMCP_EngagementLearning_Document_TechnicalMedia_WorkflowLed_TM04,API/MCP — Workflow Document (Creator),RHI,Creators,Product & Experience Teams,API / MCP Integrations,Engagement & Learning,Document,Technical Media,WorkflowLed,4000,1.0,140,0.014,0.015,0.11,0.12,0.12,0.13,0.02,0.02,0.02,0.03,"The workflow-integration story has almost no pull with Creator audiences — this is the lowest-engagement pairing in the dataset, consistent with API/MCP being a technical-buyer topic.","Stop producing API/MCP variants for Creator audiences; reallocate the production slot to a before/after or proof-led unit.",Needs Action
RHI_Creator_APIMCP_CategoryCreation_Native_AICommunity_StatLed_AC04,API/MCP — Stat-Led Native (Creator),RHI,Creators,Innovation Teams,API / MCP Integrations,Category Creation,Native,AI Community,StatLed,6000,1.2,210,0.018,0.019,0.13,0.13,0.14,0.15,0.03,0.03,0.03,0.04,"Consistent with the technical-media result, an integration-focused stat unit is not resonating with Creator audiences in AI-community environments either.","Treat API/MCP as a Builder-only topic going forward; do not fund a third Creator-facing variant without a different core message.",Watch
RHI_Builder_VerifiedHuman_EmergingIntentCapture_Carousel_Search_ComparisonLed_SR02,Verified Human — Comparison Search Carousel,RHI,Builders,AI Labs,Verified Human Network,Emerging Intent Capture,Carousel,Search,ComparisonLed,5000,1.1,460,0.044,0.037,0.33,0.28,0.30,0.26,0.09,0.07,0.11,0.27,"Verification-and-comparison search creative is producing the highest high-intent page activity of any Verified Human Network execution, signaling buyers are actively vetting vendors on trust criteria.","Fund a dedicated comparison landing page for verification criteria and route this search variant directly to it.",Improving
RHI_Creator_RealTimeInput_EmergingIntentCapture_Carousel_Search_BeforeAfter_SR03,Real-Time Input — Comparison Search Carousel,RHI,Creators,Creative Teams,Real-Time Human Input,Emerging Intent Capture,Carousel,Search,BeforeAfter,6000,1.0,520,0.036,0.031,0.27,0.23,0.31,0.27,0.06,0.05,0.07,0.19,"Search intent for Creators is rising fastest around before/after and workflow-comparison queries, suggesting active tool evaluation is starting to include a creative-QA angle.","Add a before/after-specific search ad group tied to comparison and alternative-tool queries.",Improving
